datetime,powell_inflow (cfs),powell storage (ac-ft),mead storage (ac-ft),mead outflow (cfs),net
4/22/2022,3667.18152,5758560.89,8173333.2,17486.5833,-13819.40178
4/23/2022,11001.6756,5764597,8164376.4,13723.4583,-2721.7827
4/24/2022,10170.9921,5768824.58,8150215.6,16512.0417,-6341.0496
4/25/2022,12246.4565,5774867.25,8133830,16966,-4719.5435
4/26/2022,11260.5137,5779099.43,8110027,19689.3333,-8428.8196
4/27/2022,10692.9113,5782123.57,8101854,10836.5833,-143.672
4/28/2022,9282.05773,5782728.52,8081803,19755.8333,-10473.77557
4/29/2022,11701.3354,5788174.75,8052163,24026.4583,-12325.1229
4/30/2022,9381.05257,5790596.31,8025536.6,20260.0417,-10878.98913
5/1/2022,7551.89801,5786964.21,8015185,15611,-8059.10199
5/2/2022,11532.7181,5789385.45,7990097.6,20780.2083,-9247.4902
5/3/2022,10563.841,5789990.86,7973136.8,17361.5,-6797.659
5/4/2022,12493.1246,5794229.8,7956953.6,16952.0417,-4458.9171
5/5/2022,11471.0053,5796652.9,7940034.8,18666.2083,-7195.203
5/6/2022,12777.9636,5801500.96,7922414,18819.0833,-6041.1197
5/7/2022,12181.0274,5806351.49,7909202,15367.5,-3186.4726
5/8/2022,10536.3856,5808171.08,7896736,13763.3333,-3226.9477
5/9/2022,13109.0699,5813631.92,7885024,17618.5833,-4509.5134
5/10/2022,13428.7834,5819703.2,7856495.8,21052.4583,-7623.6749
5/11/2022,13409.7108,5825778.35,7836050.2,19580.8333,-6171.1225
5/12/2022,22022.1406,5847680.87,7822917.8,18692.9167,3329.2239
5/13/2022,19795.5337,5865361,7798145.4,20658.75,-863.2163
5/14/2022,21217.6117,5886742.37,7777782.6,20353.2083,864.4034
5/15/2022,23882.7344,5913075.73,7758891,18061.7917,5820.9427
5/16/2022,23172.4057,5937021.28,7737862.8,21631.75,1540.6557
5/17/2022,24276.7764,5962874.54,7714681.2,20888.5833,3388.1931
5/18/2022,25653.743,5991268.23,7702393.6,15203.2083,10450.5347
5/19/2022,27425.2462,6022843.8,7683600.8,17602.5417,9822.7045
5/20/2022,30090.1262,6059497.82,7674223.6,15701.3333,14388.7929
5/21/2022,29223.5823,6095661.73,7666290.4,13124.0417,16099.5406
5/22/2022,29951.6515,6133209.48,7657636,14208.875,15742.7765
5/23/2022,31046.4086,6171525.68,7648260.4,15358.4583,15687.9503
5/24/2022,30425.2573,6208722.42,7628108.4,18336.5417,12088.7156
5/25/2022,26715.4316,6239083.43,7607966,19251.4583,7463.9733
5/26/2022,22886.2131,6262547.49,7586426,19882.25,3003.9631
5/27/2022,20838.4528,6282247.3,7568494,18145.5,2692.9528
5/28/2022,18350.5066,6298798.36,7554890,15001.0417,3349.4649
5/29/2022,15248.8102,6309634.33,7551310,13214.7917,2034.0185
5/30/2022,17245.2014,6323673.94,7539138,15534.375,1710.8264
5/31/2022,22568.7254,6346048.23,7516985.4,19599.875,2968.8504
6/1/2022,24916.1913,6372318.33,7499844,16892.6667,8023.5246
6/2/2022,26716.3438,6401869.44,7481168.64,18016.4167,8699.9271
6/3/2022,28304.6267,6434082.98,7466345.8,17002.375,11302.2517
6/4/2022,26610.2915,6465098.87,7460657,13148.625,13461.6665
6/5/2022,25537.7144,6494257.15,7452834.9,12917.2917,12620.4227
6/6/2022,25158.3587,6520891.72,7447146.1,13783.4167,11374.942
6/7/2022,22702.4505,6543028.2,7434346.3,15247.5417,7454.9088
6/8/2022,21346.0263,6562597.5,7419443.44,16806.8333,4539.193
6/9/2022,20655.1272,6580893.56,7407383.3,16671.7917,3983.3355
6/10/2022,20662.2639,6599219.92,7391080.08,17192.0417,3470.2222
6/11/2022,20386.7001,6618888.93,7378340.76,15972.5833,4414.1168
6/12/2022,20418.6986,6638592.73,7366309.18,14464.625,5954.0736
6/13/2022,21777.9136,6658989.86,7353588.34,16595.2083,5182.7053
6/14/2022,21867.5122,6679424.14,7341585.32,14768.5417,7098.9705
6/15/2022,23707.7445,6703200.88,7327464.12,16492.7917,7214.9528
6/16/2022,21817.8309,6723715.43,7309147.36,18915.8333,2901.9976
6/17/2022,21207.8681,6742940.09,7295060.16,16441.9167,4765.9514
6/18/2022,20184.0171,6762197.26,7286617.92,11171.375,9012.6421
6/19/2022,17689.7384,6776827.82,7282401.84,12048.5833,5641.1551
6/20/2022,18508.3628,6791477.09,7273267,15086.625,3421.7378
6/21/2022,15450.5247,6800142.28,7259916.08,16348.2083,-897.6836
6/22/2022,17506.3069,6812818.52,7243082.36,16278,1228.3069
6/23/2022,17045.9617,6824172.25,7233268.64,15749.625,1296.3367
6/24/2022,14495.4227,6830856.13,7222052.96,15807.625,-1312.2023
6/25/2022,12739.8679,6836206.02,7215056.44,13138.5833,-398.7154
6/26/2022,16328.0418,6848252.32,7214357.12,9829.79167,6498.25013
6/27/2022,12697.3284,6851600.73,7210161.2,13041.2917,-343.9633
6/28/2022,14868.8626,6858970.64,7201070.04,13146.6667,1722.1959
6/29/2022,15763.3677,6867686.57,7194776.16,12933.3333,2830.0344
6/30/2022,16819.0195,6878422.84,7187083.64,12169.1667,4649.8528
7/1/2022,14016.2658,6435107.23,7179406.42,14266.375,-250.1092
7/2/2022,11213.5121,6437624.9,7173825.46,12479.625,-1266.1129
7/3/2022,10491.4286,6438883.96,7168942.12,11881.6667,-1390.2381
7/4/2022,8128.65612,6435736.59,7171034.98,11219.7083,-3091.05218
7/5/2022,9250.58024,6430073.7,7160570.68,12903.1667,-3652.58646
7/6/2022,9886.3496,6425671.34,7154989.72,12120.5833,-2234.2337
7/7/2022,8925.91629,6419385.45,7140365.2,16445.9167,-7520.00041
7/8/2022,9246.31112,6413731.35,7127838.64,17366.0417,-8119.73058
7/9/2022,11221.0748,6416243.91,7119487.6,14852.1667,-3631.0919
7/10/2022,8818.2252,6414359.43,7115313.76,13514.7083,-4696.4831
7/11/2022,6602.06545,6403687.11,7109759.84,14901.1667,-8299.10125
7/12/2022,7495.23885,6394906.24,7099346.24,13675.5,-6180.26115
7/13/2022,5112.23332,6381748.55,7085461.44,14486.625,-9374.39168
7/14/2022,8777.72631,6375488.67,7078525.76,15203.0833,-6425.35699
7/15/2022,3151.73906,6358605.36,7073677.84,15589.2917,-12437.55264
7/16/2022,6075.78408,6351734.63,7070907.6,13564.125,-7488.34092
7/17/2022,5777.52383,6344244.34,7067444.8,13782.0417,-8004.51787
7/18/2022,4095.77185,6329279.47,7058441.52,15815.2083,-11719.43645
7/19/2022,4406.71808,6314957.69,7049438.24,13941.2083,-9534.49022
7/20/2022,5162.18833,6301898.21,7040450.08,14042.0417,-8879.85337
7/21/2022,6065.85907,6290717.2,7030086.88,14938.4167,-8872.55763
7/22/2022,4451.96202,6276447.48,7027323.36,13682.5417,-9230.57968
7/23/2022,4397.97558,6266531.94,7027323.36,10566.75,-6168.77442
7/24/2022,2393.26972,6252912.89,7025250.72,11972.375,-9579.10528
7/25/2022,6820.05312,6243019.12,7028014.24,11724.9167,-4904.86358
7/26/2022,6405.47546,6232517.17,7023178.08,12493.2083,-6087.73284
7/27/2022,7108.29941,6223259.42,7021105.44,11633.625,-4525.32559
7/28/2022,8498.46435,6216475.58,7017651.04,11356.4167,-2857.95235
7/29/2022,9104.29113,6210928.41,7025941.6,12234.125,-3129.83387
7/30/2022,10421.5036,6212160.86,7034232.16,10772.0417,-350.5381
7/31/2022,9678.41119,6212160.86,7041140.96,11172.375,-1493.96381
8/1/2022,11842.8159,6210312.24,7040450.08,14136.8333,-2294.0174
8/2/2022,8828.56927,6202920.97,7032850.4,16951.9167,-8123.34743
8/3/2022,7885.37195,6193689.18,7030777.76,12678.1667,-4792.79475
8/4/2022,6252.0078,6181392.92,7041831.84,7728.25,-1476.2422
8/5/2022,6215.83315,6169111.28,7056363.84,7493.91667,-1278.08352
8/6/2022,5814.67897,6161749.29,7069522.48,7881.625,-2066.94603
8/7/2022,5147.01946,6153166.92,7078525.76,8822.83333,-3675.81387
8/8/2022,5903.31294,6140306.64,7083378.72,10795.2083,-4891.89536
8/9/2022,4455.63131,6125017.62,7081296,9909.41667,-5453.78536
8/10/2022,3893.83845,6108531.37,7081990.24,9984.5,-6090.66155
8/11/2022,6569.29288,6096946,7085461.44,10654.125,-4084.83212
8/12/2022,7944.4316,6087808.98,7097957.76,8044,-99.5684
8/13/2022,5783.09294,6080505.25,7116008,6243.20833,-460.11539
8/14/2022,5848.75298,6073206.7,7130622.32,6328.75,-479.99702
8/15/2022,11595.7334,6070775.02,7138277.44,10261.375,1334.3584
8/16/2022,6183.5891,6058625.43,7141061.12,9517.66667,-3334.07757
8/17/2022,7912.26489,6050129.45,7149412.16,9818.66667,-1906.40178
8/18/2022,8043.00405,6041640.62,7158477.82,9787.91667,-1744.91262
8/19/2022,11097.6106,6038610.63,7174523.08,7740.375,3357.2356
8/20/2022,8146.3343,6035581.54,7190580.24,5914.29167,2232.04263
8/21/2022,11811.4584,6039216.55,7205965.28,6825.91667,4985.54173
8/22/2022,9262.61524,6033158.93,7215056.44,9549,-286.38476
8/23/2022,7945.41854,6024684.33,7215755.76,10308.7083,-2363.28976
8/24/2022,5812.02279,6011985.61,7219252.36,12646.9583,-6834.93551
8/25/2022,7385.65108,6002321.12,7219252.36,11721.4167,-4335.76562
8/26/2022,4979.76236,5987841.87,7228361.78,9033.75,-4053.98764
8/27/2022,6147.87534,5981212.56,7243783.34,6320.83333,-172.95799
8/28/2022,5896.03235,5973985.62,7258510.72,5383.54167,512.49068
8/29/2022,6740.4936,5962553.7,7269753.6,7895.79167,-1155.29807
8/30/2022,6236.83024,5949933.77,7276077.72,7959.29167,-1722.46143
8/31/2022,6294.75098,5937930.11,7275375.04,10725.6667,-4430.91572
9/1/2022,6010.07267,5930735.11,7277483.08,11450.0833,-5440.01063
9/2/2022,5935.14649,5923545.49,7282401.84,10345.4583,-4410.31181
9/3/2022,4745.01821,5916361.24,7281699.16,12255.25,-7510.23179
9/4/2022,5322.99114,5907986.38,7273969.68,13002.9583,-7679.96716
9/5/2022,5315.1579,5899618.77,7271861.64,11038.7917,-5723.6338
9/6/2022,4683.01619,5889467.85,7262726.8,12348.0417,-7665.02551
9/7/2022,4037.73588,5879327.88,7258510.72,10918.2083,-6880.47242
9/8/2022,3997.42249,5868603.41,7251494.12,12688.4583,-8691.03581
9/9/2022,4584.14802,5858932.19,7240278.44,14048.2083,-9464.06028
9/10/2022,3635.10792,5847785.59,7240979.42,9564.54167,-5929.43375
9/11/2022,4108.89302,5839619.95,7245185.3,7521.66667,-3412.77365
9/12/2022,4717.77217,5829978.97,7245886.28,9172.79167,-4455.0195
9/13/2022,5935.03964,5822865.88,7252896.08,7850.41667,-1915.37703
9/14/2022,6363.56393,5816350.3,7256402.68,7348.16667,-984.60274
9/15/2022,7592.67975,5812206.4,7264132.16,7848.875,-256.19525
9/16/2022,6591.5894,5808655.94,7273969.68,7592.83333,-1001.24393
9/17/2022,8807.2453,5806881.22,7278888.44,6802.75,2004.4953
9/18/2022,8573.55416,5804515.45,7284509.88,7409.20833,1164.34583
9/19/2022,7725.55464,5800376.79,7285915.24,7902.375,-176.82036
9/20/2022,8582.47956,5798603.63,7287320.6,7457.16667,1125.31289
9/21/2022,7957.91967,5795649.12,7292242.72,6651.5,1306.41967
9/22/2022,7567.14165,5792104.94,7298581.96,6130.08333,1437.05832
9/23/2022,16673.7588,5805106.84,7301399.4,7383.45833,9290.30047
9/24/2022,12135.1608,5809839.28,7310556.08,5429.45833,6705.70247
9/25/2022,11751.3292,5815758.2,7316895.32,6991.79167,4759.53753
9/26/2022,9605.57434,5815758.2,7321825.84,7934.08333,1671.49101
9/27/2022,8627.94272,5813982.13,7324643.28,8892.54167,-264.59895
9/28/2022,7324.35248,5809839.28,7324643.28,10619.7083,-3295.35582
9/29/2022,6530.78596,5803924.1,7326052,9355.79167,-2825.00571
9/30/2022,6116.43513,5797421.72,7328170.18,7735.95833,-1619.5232
10/1/2022,11330.7884,5803332.79,7328876.24,8174.66667,3156.12173
10/2/2022,10657.8308,5808064.33,7336642.9,6985.625,3672.2058
10/3/2022,13372.5015,5817534.61,7340879.26,6894.45833,6478.04317
10/4/2022,13643.5926,5827607.33,7343703.5,6716.04167,6927.55093
10/5/2022,15008.8145,5840065.17,7348645.92,7169.20833,7839.60617
10/6/2022,13435.966,5849568.15,7352882.28,6608.16667,6827.79933
10/7/2022,10712.1014,5854323.3,7355706.52,6525.5,4186.6014
10/8/2022,9063.61594,5856107.12,7360648.94,6736.25,2327.36594
10/9/2022,10039.5458,5859675.77,7367724.66,5473.70833,4565.83747
10/10/2022,8454.69488,5860270.68,7368432.4,9056.83333,-602.13845
10/11/2022,7761.47069,5859675.77,7368432.4,9590.20833,-1828.73764
10/12/2022,8479.57113,5860270.68,7364893.7,10110.5833,-1631.01217
10/13/2022,6770.10507,5857891.27,7362062.74,9749,-2978.89493
10/14/2022,7007.95503,5856107.12,7358530.76,9942.20833,-2934.2533
10/15/2022,7146.86284,5854917.87,7358530.76,8775.875,-1629.01216
10/16/2022,6549.37786,5852539.83,7355706.52,8511.33333,-1961.95547
10/17/2022,6026.4615,5848973.92,7362770.48,5074.04167,952.41983
10/18/2022,6522.38194,5846003.38,7369847.88,3704.125,2818.25694
10/19/2022,6660.43278,5843033.79,7379756.24,2811.70833,3848.72445
10/20/2022,6508.43825,5840065.17,7389664.6,2969.54167,3538.89658
10/21/2022,6159.57203,5836504.08,7398870.26,2492.70833,3666.8637
10/22/2022,7738.50184,5835910.7,7413058.66,2317.125,5421.37684
10/23/2022,6747.22195,5833537.55,7422281.12,2401.875,4345.34695
10/24/2022,7511.38385,5832351.21,7423699.96,7199.04167,312.34218
10/25/2022,9111.93294,5834130.78,7422281.12,7497.45833,1614.47461
10/26/2022,7464.64691,5832944.36,7421571.7,7449.5,15.14691
10/27/2022,7682.20831,5832351.21,7420152.86,8764.95833,-1082.75002
10/28/2022,8113.17307,5832351.21,7417315.18,8061.20833,51.96474
10/29/2022,8002.19557,5832351.21,7417315.18,7354.83333,647.36224
10/30/2022,7620.2206,5831758.09,7416605.76,7600.25,19.9706
10/31/2022,8205.47941,5832351.21,7416605.76,8054.625,150.85441
11/1/2022,6702.13708,5828200.19,7402417.36,13957.7917,-7255.65462
11/2/2022,8374.08492,5827014.52,7384710.42,14935.4167,-6561.33178
11/3/2022,8604.27139,5826421.74,7376217.54,13541.4583,-4937.18691
11/4/2022,6945.24953,5822865.88,7364893.7,13403.7083,-6458.45877
11/5/2022,6629.99982,5819903.69,7355000.46,13296.7917,-6666.79188
11/6/2022,7903.30847,5819311.36,7346527.74,12614.2917,-4710.98323
11/7/2022,6925.55556,5815758.2,7333818.66,14288.1667,-7362.61114
11/8/2022,7550.61555,5813390.18,7318304.04,13943.75,-6393.13445
11/9/2022,7961.54831,5811614.56,7308443,14254.3333,-6292.78499
11/10/2022,7432.83137,5808655.94,7301399.4,13767.3333,-6334.50193
11/11/2022,5957.40345,5803332.79,7290834,13091.1667,-7133.76325
11/12/2022,7004.22064,5800967.91,7284509.88,11002.375,-3998.15436
11/13/2022,5329.82947,5795649.12,7280996.48,10349,-5019.17053
11/14/2022,7567.95023,5793286.18,7280996.48,10106.0833,-2538.13307
11/15/2022,6533.09152,5789152.47,7274672.36,10267.8333,-3734.74178
11/16/2022,6563.97837,5785020.56,7268348.24,11070.875,-4506.89663
11/17/2022,6253.41219,5780300.58,7259916.08,11508.1667,-5254.75451
11/18/2022,7489.41548,5777941.46,7252195.1,13062,-5572.58452
11/19/2022,5719.4746,5773224.96,7245185.3,11238.875,-5519.4004
11/20/2022,5965.85935,5769099.95,7242381.38,9896.83333,-3930.97398
11/21/2022,6494.3954,5764976.74,7236773.54,11668.7917,-5174.3963
11/22/2022,5805.60776,5759678.11,7230464.72,10866.3333,-5060.72554
11/23/2022,5852.25437,5754382.45,7226258.84,11276.7083,-5424.45393
11/24/2022,4918.27581,5748501.84,7217853.72,11132.4583,-6214.18249
11/25/2022,5496.53867,5742624.87,7212958.48,10601.625,-5105.08633
11/26/2022,5228.48282,5737338.7,7210860.52,9841.83333,-4613.35051
11/27/2022,5495.28644,5732642.33,7205965.28,10428.2917,-4933.00526
11/28/2022,6738.37012,5729121.57,7198972.08,11138.5,-4400.12988
11/29/2022,7692.85246,5726775.1,7192678.2,11514.5417,-3821.68924
11/30/2022,5449.53902,5720325.25,7187083.64,11336.25,-5886.71098
12/1/2022,4697.97938,5712708.17,7178011.18,10339,-5641.02062
12/2/2022,7450.36169,5709194.62,7181499.28,8587.45833,-1137.09664
12/3/2022,6025.90517,5703926.71,7187083.64,6436.16667,-410.2615
12/4/2022,4806.26568,5696907.33,7194076.84,5286.25,-479.98432
12/5/2022,5769.47934,5689308.8,7198972.08,7255.5,-1486.02066
12/6/2022,7712.47383,5686387.9,7203867.32,7297.83333,414.6405
12/7/2022,6239.5217,5680548.8,7205265.96,8327.29167,-2087.76997
12/8/2022,7189.54574,5676463.56,7207363.92,8588.91667,-1399.37093
12/9/2022,6184.36364,5670630.57,7210860.52,7942.58333,-1758.21969
12/10/2022,6725.5821,5666549.62,7216455.08,6418.5,307.0821
12/11/2022,4030.17709,5658975.45,7224856.88,6665.58333,-2635.40624
12/12/2022,8592.01857,5657810.74,7217154.4,9939,-1346.98143
12/13/2022,8492.21192,5656646.17,7218553.04,10089.3333,-1597.12138
12/14/2022,3865.22491,5646753.06,7218553.04,8155.45833,-4290.23342
12/15/2022,5763.64754,5640357.1,7223454.92,6917.66667,-1154.01913
12/16/2022,6034.88163,5634546.3,7232567.66,4699.875,1335.00663
12/17/2022,6603.24359,5630480.84,7242381.38,4858.70833,1744.53526
12/18/2022,3698.69814,5622355.07,7248690.2,6000.125,-2301.42686
12/19/2022,5231.51953,5614815.83,7251494.12,6715.125,-1483.60547
12/20/2022,3740.15309,5604386.49,7254999.02,6974.625,-3234.47191
12/21/2022,3163.00764,5592811.26,7258510.72,7788.875,-4625.86736
12/22/2022,5699.44589,5585872.81,7257808.04,8633.83333,-2934.38744
12/23/2022,3620.26566,5574897.18,7264834.84,6045.04167,-2424.77601
12/24/2022,3401.35779,5564510.83,7269753.6,6243.16667,-2841.80888
12/25/2022,5368.05123,5558745.5,7278185.76,6809.29167,-1441.24044
12/26/2022,5072.67968,5550679.89,7283104.52,6384.75,-1312.07032
12/27/2022,5703.93625,5543771.93,7290834,5836.70833,-132.77208
12/28/2022,5644.54564,5536869.02,7296468.88,6188.08333,-543.53769
12/29/2022,8321.32754,5535144.09,7304216.84,6370.20833,1951.11921
12/30/2022,6157.3172,5529396.61,7309147.36,6902.04167,-744.72447
12/31/2022,9378.37217,5530545.82,7313373.52,6247.70833,3130.66384
